textDisplay,authorDisplayName,likeCount,publishedAt,clean_text,sentiment_gold,sentiment_active,confidence,sentiment_bert,confidence_bert,sentiment_final
Ini mah keren bgt siiii. Wajib virallll,@iininayatulwashliyah7932,0,2024-07-03 00:50:08,ini mah keren banget sii wajib virall,positive,positive,1.0,positive,0.9954,positive
Klo gua paling cuma dekdekan trs gigit jari😭😭😭😭😭,@vikyindahpertiwi9950,1,2024-07-18 20:58:17,kalau gua paling cuma dekdekan terus gigit jari,negative,negative,1.0,negative,0.9795,negative
weh brian mirip mantan gue wkwkw,@yagitudeh123,0,2024-07-04 17:53:52,weh brian mirip mantan gue wkwkw,neutral,neutral,1.0,neutral,0.9153,neutral
"Apalagi semua BA ruang guru ikut jadi peserta, pasti seru deh",@lennyandriani9806,0,2024-07-01 07:34:10,apalagi semua ba ruang guru ikut jadi peserta pasti seru deh,positive,positive,1.0,positive,0.9931,positive
KERENNN,@AmeliantiPutri,0,2024-07-01 05:52:12,kerenn,positive,positive,1.0,positive,0.9954,positive
Aku sih pilih NUS sama UI mereka selalu di hati,@RismaYanti-l2z,1,2024-12-11 01:40:59,aku sih pilih nus sama ui mereka selalu di hati,neutral,neutral,1.0,neutral,0.8711,neutral
"Mau soal yang dikerjain ihh.. <br>Ada yang punya gak?? <br>Mau coba ngerjain, walaupun belum sepinter mereka",@latifahkusuma3875,0,2024-06-30 14:32:15,mau soal yang dikerjain ihh ada yang punya gak mau coba ngerjain walaupun belum sepinter mereka,negative,negative,1.0,negative,0.9407,negative
seru banget kaya nonton master chef tapi versi di pendidikan,@PutriPtw,0,2024-07-05 09:09:44,seru banget kaya nonton master chef tapi versi di pendidikan,positive,positive,1.0,positive,0.9937,positive
Saya IPK 3.95 Jurusan Manajemen Ekonomi Boleh Ikutan Gak ya..krn dri univ yg gk ternama,@hermansyah1488,0,2024-07-08 11:09:52,saya ipk jurusan manajemen ekonomi boleh ikutan tidak ya krn dari univ yang tidak ternama,neutral,neutral,1.0,neutral,0.769,neutral
Cool,@rahmayatifitri9484,0,2024-07-05 06:08:35,cool,positive,positive,1.0,positive,0.9932,positive
Kesini karena FYP tiktok...luar biasa kalian...namanya kompetisi ada yg lolos dan gugur...smua hebat cuma kdg fakto luck dan pressure itu uji mental juga..,@yulihertanti1455,0,2024-07-03 14:06:59,kesini karena fyp tiktok luar biasa kalian namanya kompetisi ada yang lolos dan gugur smua hebat cuma kdg fakto luck dan pressure itu uji mental juga,positive,positive,1.0,positive,0.9895,positive
Baru tau ada ipk 5,@Molakozo,0,2024-07-03 06:06:03,baru tau ada ipk,neutral,neutral,1.0,neutral,0.988,neutral
Seru,@VOIVio-tf1sg,0,2024-07-01 17:57:46,seru,positive,positive,1.0,positive,0.9948,positive
ternyata gua bener bener remahan rengginang huhuu,@mienervadhiana1635,0,2024-07-01 03:42:58,ternyata gua bener bener remahan rengginang huhuu,negative,negative,1.0,negative,0.9584,negative
Itu rea ama nana knp ko di eliminasi,@FauzanRidwan-xl6xv,0,2024-06-30 03:55:01,itu rea ama nana kenapa ko di eliminasi,neutral,neutral,1.0,neutral,0.8244,neutral
anak soshum di hantam matematika 💀,@NabilaZalsabila-yt3so,0,2024-06-30 04:51:32,anak soshum di hantam matematika,negative,negative,1.0,neutral,0.5144,neutral
apa disini ada impostor,@KamalakAnimations,0,2024-07-02 03:13:48,apa disini ada impostor,neutral,neutral,1.0,neutral,0.9857,neutral
Aku kagum banget sama mereka😅,@NurAwatif-x6r,0,2024-07-29 13:15:23,aku kagum banget sama mereka,positive,positive,1.0,positive,0.9942,positive
Nice,@saddil-,3,2024-07-16 13:19:11,nice,positive,positive,1.0,positive,0.9947,positive
Harus viral kalau perlu acara semacam ini harus di banyakin dan harus berseason-season,@pusphasuwarni3926,0,2024-06-30 12:14:03,harus viral kalau perlu acara semacam ini harus di banyakin dan harus berseason season,positive,positive,1.0,positive,0.8515,positive
"Maxwel lucuuuu pwolll logat e, unik, suka dengernya",@roosedmyanti4794,0,2024-06-30 05:34:21,maxwel lucuu pwoll logat e unik suka dengernya,positive,positive,1.0,positive,0.9869,positive
Insecure yg sesungguhnya nih😅,@egaainayah11,0,2024-07-02 04:59:54,insecure yang sesungguhnya nih,negative,negative,1.0,negative,0.9515,negative
The best sih Ruangguru ini acara terbaik di indonesia sejauh ini menurut gue pribadi edukasinya bikin gw gabisa berkata kata lagi,@Farhannnsss,0,2024-07-05 02:51:36,the best sih ruangguru ini acara terbaik di indonesia sejauh ini menurut gue pribadi edukasinya bikin gw gabisa berkata kata lagi,positive,positive,1.0,positive,0.9937,positive
Ini udahan ?,@miranurjannah8568,0,2024-06-29 12:12:43,ini udahan,neutral,neutral,1.0,neutral,0.9814,neutral
Di ksh makan apa sih pda pinter2 bgd aku iri 😢,@gadissurahmawati5201,0,2024-07-12 04:18:14,di ksh makan apa sih pda pinter bgd aku iri,neutral,neutral,1.0,negative,0.926,negative
Ih gilak keren bgt <br>Ini tayangnya kpn aja si? Seminggu sekali ya? Pliiss jangan kelamaan 🥲,@shoviamalia8191,1,2024-06-29 14:19:15,ih gilak keren banget ini tayangnya kapan saja si seminggu sekali ya pliiss jangan kelamaan,positive,positive,1.0,positive,0.9938,positive
Kelasssss🔥🔥,@nanizulvia18,0,2024-06-30 12:51:46,kelass,neutral,neutral,1.0,neutral,0.9578,neutral
keren bet anjir nih acara 😭😭,@minjjeo,0,2024-06-30 00:19:21,keren bet anjir nih acara,positive,positive,1.0,positive,0.9954,positive
Keren bangett harus diperbanyak acara kaya ginii,@viraaliyahspentisa6453,2,2024-07-03 12:34:42,keren bangett harus diperbanyak acara kaya ginii,positive,positive,1.0,positive,0.9955,positive
Luar biasaa 👏👏👏👏👏,@ferdijrs2671,0,2024-06-29 16:10:46,luar biasaa,positive,positive,1.0,positive,0.9952,positive
Ni uph ga mau join 😂,@ribkaeunike9670,0,2024-07-01 01:42:18,ni uph tidak mau join,negative,negative,1.0,negative,0.947,negative
Time stampnya kasih keterangannya Min,@Binahong1122,0,2024-06-30 03:49:26,time stampnya kasih keterangannya min,neutral,neutral,1.0,neutral,0.9697,neutral
KERENNN BANGETTTT. KITA HARUS VIRALIN!! Saatnya orang orang berilmu go public!! Semoga dengan viral nya ini bikin pendidikan kita dinotice dan diperhatiin,@dearlathifah,4,2024-06-29 17:54:36,kerenn bangett kita harus viralin saatnya orang orang berilmu go public semoga dengan viral nya ini bikin pendidikan kita dinotice dan diperhatiin,positive,positive,1.0,positive,0.9946,positive
"aq gak ragu kualitas anak indonesia, cm setelah mereka direkrut, mereka akan dipaksa melakukan agenda² kotor para manusia² busuk yg berkuasa",@KuswatiSikus,1,2024-07-11 08:51:08,aq tidak ragu kualitas anak indonesia cm setelah mereka direkrut mereka akan dipaksa melakukan agenda² kotor para manusia² busuk yang berkuasa,negative,negative,1.0,negative,0.9671,negative
"Udah nonton university war sampe habis dan ekspektasi sama ini tinggi, ternyata sama2 keren ❤ anak indonesia banyak yg keren ❤",@Yujinahnprotector,14,2024-06-29 16:54:25,sudah nonton university war sampe habis dan ekspektasi sama ini tinggi ternyata sama keren anak indonesia banyak yang keren,positive,positive,1.0,positive,0.9948,positive
emangnya tempat ptn klo kualitasny bagus ke mahasiswany juga bagus,@rifqulfaqihh-ie4yk,0,2024-07-03 07:33:40,emangnya tempat ptn kalau kualitasny bagus ke mahasiswany juga bagus,negative,negative,1.0,negative,0.4976,negative
seru bgt ini mah,@nurlaila972,0,2024-06-30 05:17:10,seru banget ini mah,positive,positive,1.0,positive,0.9953,positive
Ikut merinding gak sihh,@mukrimunapadli6908,0,2024-07-09 09:52:17,ikut merinding tidak sihh,negative,negative,1.0,negative,0.9717,negative
"Keren bngat sumpah, bnyakin acara kayak gini dehhh..",@threenahassan2989,0,2024-06-29 16:37:44,keren bngat sumpah bnyakin acara seperti gini dehh,positive,positive,1.0,positive,0.9953,positive
SERUU BGT NONTONI ORANG-ORANG PINTER🤩🤩,@itslily2186,0,2024-06-30 02:32:20,seruu banget nontoni orang orang pinter,positive,positive,1.0,positive,0.9949,positive
kerenn bangettt,@ShafaZhafira-e3m,0,2024-06-29 12:12:47,kerenn bangett,positive,positive,1.0,positive,0.9955,positive
SERU BANGEEEETTT,@LiaFitriani-jw4fr,0,2024-06-30 12:48:22,seru bangeett,positive,positive,1.0,positive,0.9954,positive
Huwaaaaa keren banget,@josephimannuel2698,0,2024-07-02 05:04:10,huwaa keren banget,positive,positive,1.0,positive,0.9954,positive
Sangat berkualitas,@dewi_app,0,2024-06-30 03:53:04,sangat berkualitas,positive,positive,1.0,positive,0.9933,positive
the intro is soo firee hello???,@ilovenoodle.s,0,2024-06-30 23:09:34,the intro is soo firee hello,positive,positive,1.0,positive,0.6773,positive
Seorang ibu punya anak umur 4th. Nonton ini sambil berdoa. Semoga anakku di karunai allah otak yang cerdas❤.. aamiin<br><br>Ini tontonan yang membakar semangat untuk terus belajar...❤❤❤❤,@SitiSarah-yk5tx,27,2024-07-10 01:24:53,seorang ibu punya anak umur th nonton ini sambil berdoa semoga anakku di karunai allah otak yang cerdas aamiinini tontonan yang membakar semangat untuk terus belajar,positive,positive,1.0,positive,0.977,positive
Orang pemalas kayak aku ini boleh ga sih nonton ini,@yanuarromadhon7629,0,2024-07-03 05:48:48,orang pemalas seperti aku ini boleh tidak sih nonton ini,negative,negative,1.0,negative,0.962,negative
Itukan pas submit pada barengan yaa..  jaraknya deket juga dan jiwa nyontek gua meronta ronta whahahahaaa,@RAGNAR___LOTTHBROK,1,2024-07-18 14:42:47,itukan pas submit pada barengan yaa jaraknya deket juga dan jiwa nyontek gua meronta ronta whahahahaa,positive,positive,1.0,positive,0.8863,positive
Sumpah ini kereeen tolong Adain terus yaaaa,@irpaniponk6571,0,2024-07-01 01:58:33,sumpah ini kereen tolong adain terus yaa,positive,positive,1.0,positive,0.9905,positive
Suka ma tontonan yg bermanfaat kek gini,@Haryati09c2,0,2024-06-30 00:55:57,suka ma tontonan yang bermanfaat kek gini,positive,positive,1.0,positive,0.9925,positive
Anak sma dong,@HITTAZER0,0,2024-07-02 13:51:16,anak sma dong,neutral,neutral,1.0,neutral,0.9753,neutral
"Ibu-ibu yg pengen anak nya kayak gini, plis jgn cuma sholawat ya bu.. Tapi ajarin anak nya metode belajar yang betul",@sabilanurul358,1,2024-07-13 12:41:23,ibu ibu yang pengen anak nya seperti gini plis jgn cuma sholawat ya bu tapi ajarin anak nya metode belajar yang betul,positive,positive,1.0,positive,0.945,positive
Kampusku gak ada 😅,@yaya_vintagechannel7485,0,2024-07-21 06:26:19,kampusku tidak ada,negative,negative,1.0,negative,0.969,negative
PLISSS DURASI NYA 2 JAM DONG😭😭😭😭😭😭,@shalfabrynaaqilasyahla2400,0,2024-06-30 03:48:15,pliss durasi nya jam dong,negative,negative,1.0,negative,0.9445,negative
Aku jadi bnyk belajar,@devipuspita9571,0,2024-08-06 16:09:43,aku jadi banyak belajar,positive,positive,1.0,positive,0.9689,positive
SUKA BANGET SAMA EDUCATIONAL SHOW GINIII‼️ SUKSES TERUS RUANGGURU🔥🔥🔥,@Llowkeys,0,2024-06-29 12:24:35,suka banget sama educational show ginii sukses terus ruangguru,positive,positive,1.0,positive,0.9938,positive
Liatt vibes mereekaa jadii Kangen jadi mahasiswii 😢😢😅😅😅,@nisaawaliyah3363,0,2024-07-19 15:00:49,liatt vibes mereekaa jadii kangen jadi mahasiswii,negative,negative,1.0,negative,0.9578,negative
Gasss trendingin guysss,@laughpaugh7536,0,2024-06-29 14:55:10,gass trendingin guyss,positive,positive,1.0,positive,0.9702,positive
Seru bgt vibe org pintar emng beda,@LeeRian-o6v,0,2024-06-30 13:07:00,seru banget vibe orang pintar emng beda,positive,positive,1.0,positive,0.9945,positive
"liat gini gw jadi termotivasi buat ngga malas2 an lg buat belajar apa lagi tdur di kelas, maybe ortu ngga nuntut w tp aku yakin si mereka naruh harapan di w",@Khnzra,0,2024-07-12 11:40:40,liat gini gw jadi termotivasi buat tidak malas an lagi buat belajar apa lagi tdur di kelas maybe ortu tidak nuntut w tapi aku yakin si mereka naruh harapan di w,positive,positive,1.0,positive,0.8628,positive
kerennn bangettt plissss😢,@cinnamomum9193,0,2024-06-30 01:16:38,kerenn bangett pliss,positive,positive,1.0,positive,0.9952,positive
KERENNN BANGEEETTTTT🎉🎉🎉🎉,@graciaaa5499,0,2024-06-29 16:11:24,kerenn bangeett,positive,positive,1.0,positive,0.9954,positive
EDITANNYA UDAH MIRIP UNIVERSITY WAR WOYY😂😂😂,@jsceia,0,2024-06-29 12:46:45,editannya sudah mirip university war woyy,positive,positive,1.0,neutral,0.7792,neutral
war university versi indonesia,@winnie465,0,2024-07-03 05:20:58,war university versi indonesia,positive,positive,1.0,positive,0.9794,positive
wkwkwkw baru aja seneng uwin ikutan 😂 drtd uwin gada screen maju nyoba 😂,@productivty4278,0,2024-06-29 14:58:33,wkwkwkw baru saja seneng uwin ikutan drtd uwin gada screen maju nyoba,positive,positive,1.0,positive,0.988,positive
"Gitu aja gabisa, easy",@ShortMoba888,0,2024-07-14 17:15:54,gitu saja gabisa easy,negative,negative,1.0,negative,0.9567,negative
"Gk usah takut dihujat netizen,liat prestasi kalian aja uda keder😭",@gitaaulia4798,0,2024-06-29 18:41:53,tidak usah takut dihujat netizen liat prestasi kalian saja uda keder,negative,negative,1.0,negative,0.9751,negative
WAKTUNYA MEMPERTONTONKAN ORG2 PINTAR!!SLAMA INI YG VIRAL MANUSIA2 KONYOL..,@rialhaksitasari104,0,2024-06-30 08:28:42,waktunya mempertontonkan org pintar slama ini yang viral manusia konyol,negative,negative,1.0,negative,0.94,negative
Kerennn bangettt 😭😭😭,@thamilatifaamellia,0,2024-06-30 11:00:45,kerenn bangett,positive,positive,1.0,positive,0.9955,positive
"Percuma pinter begini, nanti ujungnya juga pas real life &quot;mas/mbak, tolong invoicenya jadiin segini ya. bisa ga. hehehe&quot;",@HeartBrains,1,2024-07-01 06:20:22,percuma pinter begini nanti ujungnya juga pas real life quot mas mbak tolong invoicenya jadiin segini ya bisa ga hehehe quot,negative,negative,1.0,negative,0.9372,negative
degdeg kan nya smpe ke yg nonton <br>lanjutkan acara yg seperti ini<br><br>semangat utk smua peserta,@inna_belutowe5743,0,2024-06-30 04:05:52,degdeg kan nya smpe ke yang nonton lanjutkan acara yang seperti inisemangat untuk smua peserta,positive,positive,1.0,positive,0.9856,positive
"ini gw baru nnton udah nyembur teh dri mulut dluan ggra liat smua oencapaiannya, apalah gw yg kelas ngerjain tugas 1 aja udh berasa pinter bgt😭",@aldoirza2234,0,2024-07-04 01:52:16,ini gw baru nnton sudah nyembur teh dari mulut dluan ggra liat smua oencapaiannya apalah gw yang kelas ngerjain tugas saja sudah berasa pinter bgt,negative,negative,1.0,negative,0.9483,negative
"Keren nih programnya. Saran dari saya soalnya ditampilin, biar kita juga bisa ikut merasakan mengerjakan soalnya. Lebih bagus lagi kalau di akhir rounde dijelasin juga cara penyelesaiannya untuk mengedukasi penonton.❤",@syahidan4936,1,2024-07-05 01:02:12,keren nih programnya saran dari saya soalnya ditampilin biar kita juga bisa ikut merasakan mengerjakan soalnya lebih bagus lagi kalau di akhir rounde dijelasin juga cara penyelesaiannya untuk mengedukasi penonton,positive,positive,1.0,positive,0.9927,positive
mwerinding bgt sm prestasi merekaaa huhu Keren2 bangettt aaa,@nadilaidzaniaputri1138,0,2024-07-02 23:57:11,mwerinding banget sama prestasi merekaa huhu keren bangett aa,positive,positive,1.0,positive,0.9943,positive
Sepertinya aku tahu siapa yg dari korea😉,@NoviaMelina,1,2024-06-30 03:43:54,sepertinya aku tahu siapa yang dari korea,neutral,neutral,1.0,neutral,0.9659,neutral
"PLEASE DI NEXT SEASON COC UNDANG MC BENERAN DONG, BISA UNDANG TOKOH2 PENDIDIKAN INDONESIA YG TERKENAL, MAU INFLUENCER, SELEBRITI, ARTIS, PUBLIC FIGURE KAYA MAUDY AYUNDA, NAJWA, JEROME, PRILLY, BIAR LEBIH SERU AJA WKWK",@jourdainefelix9238,1,2024-06-30 03:46:52,please di next season coc undang mc beneran dong bisa undang tokoh pendidikan indonesia yang terkenal mau influencer selebriti artis public figure kaya maudy ayunda najwa jerome prilly biar lebih seru saja wkwk,positive,positive,1.0,positive,0.9873,positive
Akhirnya dannn akhirnyaaaa Indonesia ada acara ini ... ngikutin yg korea .. sempet kyk mikir ... kpn ya Indo ada acara kyk gini ... daannnn ruang guruuuu bikin acara ini !!! GOKIL !!!!  sukses ya Ruang Guru ... 🎉🎉❤,@chipungsblack,0,2024-07-12 10:52:35,akhirnya dann akhirnyaa indonesia ada acara ini ngikutin yang korea sempet seperti mikir kapan ya indo ada acara seperti gini daann ruang guruu bikin acara ini gokil sukses ya ruang guru,positive,positive,1.0,positive,0.9904,positive
Kereennn bgttt<br>Sekali2 harus sdm berkualitas yg harus virall 🔥🔥,@Name-y5n8s,0,2024-06-29 13:50:53,kereenn bgttsekali harus sdm berkualitas yang harus virall,positive,positive,1.0,positive,0.9904,positive
Seketika nonton ini ngingetin university war hampir mirip,@gadogado5061,1,2024-06-30 02:25:01,seketika nonton ini ngingetin university war hampir mirip,neutral,neutral,1.0,neutral,0.9642,neutral
Alhamdulillah prestasi terbesarku adalah masuk kuliah setiap hari😅,@gbrnjim2699,0,2024-06-30 01:43:24,alhamdulillah prestasi terbesarku adalah masuk kuliah setiap hari,negative,negative,1.0,positive,0.9863,positive
Their live game shows are a blast got a bonus just for participating in a quiz,@MustafaTugba-w8n,0,2024-08-04 05:00:08,their live game shows are a blast got a bonus just for participating in a quiz,positive,positive,1.0,positive,0.7122,positive
Agas paling selow semua temannya yang lolos selalu disambut.. padahal mereka lagi berkompetisi. In the end &quot;BALIK YUK😂&quot;,@yayanyayan1124,0,2025-01-07 15:32:17,agas paling selow semua temannya yang lolos selalu disambut padahal mereka lagi berkompetisi in the end quot balik yuk quot,negative,negative,1.0,negative,0.9738,negative
Shakira mantep bener sih,@sitinurfatimah6932,1,2024-06-29 11:49:20,shakira mantep bener sih,positive,positive,1.0,positive,0.9911,positive
UI emg gabisa diboongin ya😃 mantap bgttt,@rakaprd_,0,2024-06-29 20:25:46,ui emg gabisa diboongin ya mantap bgtt,negative,negative,1.0,positive,0.9917,positive
Keren banget acara ini,@anasanwarnasirin207,0,2024-06-30 03:12:02,keren banget acara ini,positive,positive,1.0,positive,0.9956,positive
guyss ini uda dimulai dari tadii kaah kompetisinya??? or masi perkenalan 😭😭,@Vanessa-029,0,2024-06-29 11:49:50,guyss ini uda dimulai dari tadii kaah kompetisinya or masi perkenalan,neutral,neutral,1.0,neutral,0.9552,neutral
Seandainya ada kelas untuk ibu2 ky saya..,@Ummicipa,0,2024-07-13 01:24:40,seandainya ada kelas untuk ibu ky saya,neutral,neutral,1.0,neutral,0.9801,neutral
hanif ipknya 4 tp ga lolos²:(,@ohhhsyieeetttt,2,2024-06-29 11:57:24,hanif ipknya tapi tidak lolos²,negative,negative,1.0,negative,0.9439,negative
Keren bangett sumpah langsung berasa jadi orang pinterrr,@ham7607,0,2024-06-29 12:14:18,keren bangett sumpah langsung berasa jadi orang pinterr,positive,positive,1.0,positive,0.9951,positive
"Iya bgt mak, liat begini aja uda bangga, padahal bukan emak nya 😂",@DeviNosar,0,2024-07-14 04:50:05,iya banget mak liat begini saja uda bangga padahal bukan emak nya,positive,positive,1.0,positive,0.9808,positive
Seketika merasa org paling bodoh wkwkwk,@NurulIstiawia,0,2024-07-16 08:21:40,seketika merasa orang paling bodoh wkwkwk,negative,negative,1.0,negative,0.9679,negative
bijak bijaknyaaa . mantap korang teruskan belajar!! semoga suksessss,@Mikayla1637,1,2024-06-30 08:19:43,bijak bijaknyaa mantap korang teruskan belajar semoga suksess,positive,positive,1.0,positive,0.9935,positive
gue mau evil komen juga gabisa... ga level🙏🙏🙏,@sofiarkthought3882,0,2024-06-29 15:27:01,gue mau evil komen juga gabisa tidak level,neutral,neutral,1.0,neutral,0.963,neutral
Kerenn bgtt plsss. Pengen pinterr kayaaa mrk😭😭,@polonioslaia2632,0,2024-06-30 10:37:10,kerenn banget plss pengen pinterr kayaa mrk,positive,positive,1.0,positive,0.9933,positive
"SARAN: PLIS DURASI PENGERJAANNYA DIKASIH KETERANGAN WAKTU, JANGAN PAKE BENDERA🙏🏻🙏🏻🙏🏻",@theeclipseofyou,0,2024-06-29 14:45:33,saran plis durasi pengerjaannya dikasih keterangan waktu jangan pake bendera,neutral,neutral,1.0,neutral,0.6698,neutral
masyallah semoga pinternya nular kakak kakak,@DindaNovelasari-qn8yc,0,2024-07-09 02:37:10,masyallah semoga pinternya nular kakak kakak,positive,positive,1.0,positive,0.991,positive
"Takut dihujat netizen kayanya, g bakal ada yg hujad we, 10 org yg tereliminasi itu org2 hebat jg..",@AlshifaAghnia,0,2024-07-07 14:49:50,takut dihujat netizen kayanya g bakal ada yang hujad we orang yang tereliminasi itu org hebat jg,negative,negative,1.0,negative,0.9676,negative
Yang lolos maupun yang tidak lolos semua yang ada disitu kalian hebaaaaaat,@piyyafauziyahhasan4377,0,2024-06-30 12:49:18,yang lolos maupun yang tidak lolos semua yang ada disitu kalian hebaat,positive,positive,1.0,positive,0.9909,positive
"Ini keren bangettt, mo nangees 😭😭😭😭",@inwl_3700,0,2024-06-30 06:33:19,ini keren bangett mo nangees,positive,positive,1.0,positive,0.9954,positive
Adik-adik biar 10 orang tereleminasi tapi yang pasti mereka lebih pinter dari pada kita😂,@anashamzah5830,417,2024-06-30 03:21:39,adik adik biar orang tereleminasi tapi yang pasti mereka lebih pinter dari pada kita,negative,negative,1.0,negative,0.9053,negative
Keren 🎉,@teguhpermana3107,0,2024-06-30 02:19:37,keren,positive,positive,1.0,positive,0.9956,positive
si yesaya anj wkwkkwkk,@cutiepie-fg1pf,0,2024-06-29 14:05:51,si yesaya anj wkwkkwkk,negative,negative,1.0,positive,0.982,positive
Ini cara hebat sih jd nge buat orang tua jd lebih aware akan pendidikan anak,@AnjaniYuliani-k8p,1,2024-07-10 03:48:34,ini cara hebat sih jd nge buat orang tua jd lebih aware akan pendidikan anak,positive,positive,1.0,positive,0.989,positive
Kalian adalah anak2 penerus yang cerdas,@khibersaudara7901,0,2024-06-30 13:23:08,kalian adalah anak penerus yang cerdas,positive,positive,1.0,positive,0.9866,positive
MULES NONTON NYAA😢😢 ikut deg deg,@cindyaui,1,2024-06-29 15:31:03,mules nonton nyaa ikut deg deg,negative,negative,1.0,negative,0.9583,negative
Nonton ini merinding dr awal sampe akhir. Seneng bgt liat org2 pinter gini 😍,@tataarinda1676,0,2024-07-11 06:15:18,nonton ini merinding dari awal sampe akhir seneng banget liat org pinter gini,positive,positive,1.0,positive,0.9939,positive
Gapernah se excited ini nntn acara indo❤,@silvaisnanip,0,2024-06-29 22:53:46,gapernah se excited ini nntn acara indo,positive,positive,1.0,positive,0.9884,positive
Aku suka acara begini..,@matisyah-id,0,2024-06-30 11:46:42,aku suka acara begini,positive,positive,1.0,positive,0.988,positive
semoga teman-teman di belakang layar bisa dapat bonus🤩🤩🤩🤩,@fauziahfebrianti2898,0,2024-07-03 04:37:46,semoga teman teman di belakang layar bisa dapat bonus,neutral,neutral,1.0,positive,0.9861,positive
Gaada universitas mulawarman ya😢,@hasnafitriani1817,0,2024-07-06 03:36:10,gaada universitas mulawarman ya,negative,negative,1.0,negative,0.8792,negative
Semangat untuk yg belum berhasil.... kalian juga hebat,@rostikawatidewi7638,0,2024-06-30 05:10:41,semangat untuk yang belum berhasil kalian juga hebat,positive,positive,1.0,positive,0.9948,positive
Sangat menghibur kedunguanku😊,@elisacristina6850,0,2024-06-30 13:41:37,sangat menghibur kedunguanku,positive,positive,1.0,positive,0.9944,positive
ini mau buat acara kayak di cina hehehe...,@alamnahlus,0,2024-06-30 02:39:10,ini mau buat acara seperti di cina hehehe,neutral,neutral,1.0,neutral,0.9738,neutral
GOO MAXWELL,@NaraHaechan,0,2024-06-29 11:41:21,goo maxwell,negative,negative,1.0,negative,0.8744,negative
Keren ❤,@SarahMunarai,0,2024-06-30 02:40:45,keren,positive,positive,1.0,positive,0.9956,positive
"nonton ulang di 2025, ternyata maxwel selucu ituuu",@NNNaaTan,1,2025-01-20 02:19:38,nonton ulang di ternyata maxwel selucu ituu,negative,negative,1.0,positive,0.9895,positive
Naahh ini yg ditunggu² kaya university war versi indo nya,@nurluchatohpa6854,0,2024-06-30 14:58:39,naahh ini yang ditunggu² kaya university war versi indo nya,positive,positive,1.0,positive,0.9532,positive
"Aq g pinter.. tp pas soal kluar aq ko langsung kepikiran pola hitungnya, ehh pas di bahas bner lagi. Sama ma yg aq fikirin.. ngerasa ky setara gtu kita.. ya keee sombong bgettt.. gini nih centong nasi di kasi nyawa 😭😭😭😭",@yunitasari7835,0,2024-06-29 17:28:38,aq g pinter tapi pas soal kluar aq ko langsung kepikiran pola hitungnya ehh pas di bahas bner lagi sama ma yang aq fikirin ngerasa ky setara gtu kita ya kee sombong bgett gini nih centong nasi di kasi nyawa,negative,negative,1.0,negative,0.95,negative
Mreka yg punya acara gw yg nangis kejerrr banggaaaaaaaa!!. Ayooo ruang guru bnyakin acaranya yg kya giniiiii?!! Biar kalah tontonan sinetron indo ganti sm acaranya ruang guru,@erlyanakusumawardhani9317,56,2024-06-29 13:20:53,mreka yang punya acara gw yang nangis kejerr banggaa ayoo ruang guru bnyakin acaranya yang kya ginii biar kalah tontonan sinetron indo ganti sama acaranya ruang guru,negative,negative,1.0,positive,0.9461,positive
gw yang nonton aja degdegan woy apalagi ngitung disana,@jaymie1339,0,2024-06-30 08:12:56,gw yang nonton saja degdegan woy apalagi ngitung disana,negative,negative,1.0,negative,0.9717,negative
Siswa GD ikutan 😂,@SriWahyuni-vi6fd,0,2024-07-06 02:46:37,siswa gd ikutan,positive,positive,1.0,positive,0.9851,positive
"Aku suka keren,, kalo bisa jurusannya berbeda beda jdi banyak pengetahuannya",@maryamjamilah4554,0,2024-07-02 02:49:18,aku suka keren kalau bisa jurusannya berbeda beda jadi banyak pengetahuannya,positive,positive,1.0,positive,0.9934,positive
"Ayo kak yochan, warga unud bersamamu",@DYNVIOLETTA,0,2024-06-30 09:43:23,ayo kak yochan warga unud bersamamu,positive,positive,1.0,positive,0.9562,positive
kerennn bgttt inii,@ravaniaismayantiii,1,2024-07-01 04:59:24,kerenn bgtt inii,positive,positive,1.0,positive,0.9955,positive
"Kak yochan, aku bangga bangett🎉",@kireifa,0,2024-06-29 15:42:29,kak yochan aku bangga bangett,positive,positive,1.0,positive,0.9936,positive
Kereeennnn banget bangeettttt🔥🔥🔥,@elvalia-je3fv,0,2024-06-29 12:12:27,kereenn banget bangeett,positive,positive,1.0,positive,0.9949,positive
"PLEASEEEE VIRALIN ACARA INI, BIAR INDONESIA SEMAKIN BANYAK LAGI ACARA BERKUALITAS KAYAK BEGINI",@destipramesti5010,54453,2024-06-29 08:35:56,pleasee viralin acara ini biar indonesia semakin banyak lagi acara berkualitas seperti begini,positive,positive,1.0,positive,0.984,positive
btw alfie vibes nya kaya dr. Tirta😭,@Syifaauliaputri-ci4yo,0,2024-07-03 02:09:12,btw alfie vibes nya kaya dr tirta,neutral,neutral,1.0,neutral,0.9747,neutral
